diameter,berat,tebal_kulit,kadar_gula,asal_daerah,musim_panen,warna,kualitas
57.1,105,3.7,8.4,California,Puncak,Kuning cerah,Grade A
60.2,118,3.8,8.2,Malang,Puncak,Kuning cerah,Grade A
48.5,80,4.6,7.8,Medan,Akhir,Kuning kehijauan,Grade B
65.8,136,5.1,7.0,California,Akhir,Hijau pekat,Reject
55.9,101,3.5,8.5,Malang,Awal,Kuning cerah,Grade A
52.3,92,4.4,7.6,Medan,Puncak,Kuning kehijauan,Grade B
62.5,125,3.9,8.1,California,Awal,Kuning cerah,Grade A
47.0,75,5.5,7.2,Malang,Akhir,Hijau pekat,Reject
59.5,112,4.0,8.0,Medan,Puncak,Kuning cerah,Grade A
50.1,85,4.3,7.9,California,Awal,Kuning kehijauan,Grade B
61.5,120,3.6,8.3,Malang,Puncak,Kuning cerah,Grade A
53.8,98,4.1,7.5,Medan,Akhir,Kuning kehijauan,Grade B
67.0,140,5.8,6.9,California,Akhir,Hijau pekat,Reject
56.8,103,3.4,8.6,Malang,Awal,Kuning cerah,Grade A
51.2,89,4.2,7.7,Medan,Puncak,Kuning kehijauan,Grade B
58.8,110,3.9,8.0,California,Puncak,Kuning cerah,Grade A
63.2,128,4.0,8.1,Malang,Awal,Kuning cerah,Grade A
49.0,82,4.7,7.4,Medan,Akhir,Kuning kehijauan,Grade B
66.5,138,5.0,7.1,California,Akhir,Hijau pekat,Reject
54.5,95,3.6,8.2,Malang,Puncak,Kuning cerah,Grade A
60.5,116,3.7,8.3,Medan,Awal,Kuning cerah,Grade A
51.8,91,4.5,7.5,California,Puncak,Kuning kehijauan,Grade B
46.2,72,5.6,7.3,Malang,Akhir,Hijau pekat,Reject
58.0,108,3.8,8.1,Medan,Awal,Kuning cerah,Grade A
50.8,87,4.3,7.6,California,Puncak,Kuning kehijauan,Grade B
62.8,126,3.9,8.2,Malang,Awal,Kuning cerah,Grade A
53.5,96,4.1,7.9,Medan,Puncak,Kuning kehijauan,Grade B
68.0,142,5.9,6.8,California,Akhir,Hijau pekat,Reject
55.5,100,3.5,8.4,Malang,Puncak,Kuning cerah,Grade A
49.8,84,4.4,7.7,Medan,Akhir,Kuning kehijauan,Grade B
60.8,117,3.6,8.5,California,Awal,Kuning cerah,Grade A
54.2,94,4.2,7.6,Malang,Puncak,Kuning kehijauan,Grade B
45.5,70,6.0,6.7,Medan,Akhir,Hijau pekat,Reject
57.5,104,3.7,8.3,California,Awal,Kuning cerah,Grade A
51.5,90,4.5,7.8,Malang,Puncak,Kuning kehijauan,Grade B
63.5,130,4.0,8.0,Medan,Awal,Kuning cerah,Grade A
50.0,86,4.3,7.5,California,Puncak,Kuning kehijauan,Grade B
65.0,132,4.9,7.2,Malang,Akhir,Hijau pekat,Reject
56.5,102,3.4,8.6,Medan,Awal,Kuning cerah,Grade A
52.0,93,4.6,7.4,California,Puncak,Kuning kehijauan,Grade B
61.0,119,3.8,8.1,Malang,Puncak,Kuning cerah,Grade A
54.8,99,4.2,7.7,Medan,Akhir,Kuning kehijauan,Grade B
67.5,145,5.7,6.8,California,Akhir,Hijau pekat,Reject
57.2,106,3.5,8.4,Malang,Awal,Kuning cerah,Grade A
48.9,81,4.5,7.9,Medan,Puncak,Kuning kehijauan,Grade B
59.2,111,3.9,8.0,California,Puncak,Kuning cerah,Grade A
63.0,127,4.0,8.1,Malang,Awal,Kuning cerah,Grade A
49.5,83,4.7,7.4,Medan,Akhir,Kuning kehijauan,Grade B
66.0,137,5.0,7.1,California,Akhir,Hijau pekat,Reject
54.0,97,3.6,8.2,Malang,Puncak,Kuning cerah,Grade A
60.0,115,3.7,8.3,Medan,Awal,Kuning cerah,Grade A
52.5,95,4.5,7.5,California,Puncak,Kuning kehijauan,Grade B
46.0,73,5.6,7.3,Malang,Akhir,Hijau pekat,Reject
58.5,109,3.8,8.1,Medan,Awal,Kuning cerah,Grade A
51.3,89,4.3,7.6,California,Puncak,Kuning kehijauan,Grade B
62.0,123,3.9,8.2,Malang,Awal,Kuning cerah,Grade A
53.0,94,4.1,7.9,Medan,Puncak,Kuning kehijauan,Grade B
68.5,144,5.9,6.8,California,Akhir,Hijau pekat,Reject
55.0,100,3.5,8.4,Malang,Puncak,Kuning cerah,Grade A
49.2,81,4.4,7.7,Medan,Akhir,Kuning kehijauan,Grade B
61.2,121,3.6,8.5,California,Awal,Kuning cerah,Grade A
54.6,97,4.2,7.6,Malang,Puncak,Kuning kehijauan,Grade B
45.8,71,6.0,6.7,Medan,Akhir,Hijau pekat,Reject
